ident_ativo;nm_ativo;eh_fundo_vedado;nm_fundo;cnpj_admin;cnpj_gestor;enquad_sprev;enquad_sprev_pad;atende_art15;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_ATIV;DT_INI_EXERC;DT_FIM_EXERC;CLASSE;DT_INI_CLASSE;RENTAB_FUNDO;CONDOM;FUNDO_COTAS;FUNDO_EXCLUSIVO;TRIB_LPRAZO;INVEST_QUALIF;TAXA_PERFM;INF_TAXA_PERFM;TAXA_ADM;INF_TAXA_ADM;VL_PATRIM_LIQ.x;DT_PATRIM_LIQ;TP_FUNDO;qtd_rpps_investindo;eh_investigado;DT_COMPTC;VL_PATRIM_LIQ.y;NR_COTST
00834074000123; CAIXA FIC PRATICO RENDA FIXA CURTO PRAZO;0;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA PRÁTICO RENDA FIXA CURTO PRAZO;00360305;00360305;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA PRÁTICO RENDA FIXA CURTO PRAZO;2004-12-22;1995-10-02;NA;EM FUNCIONAMENTO NORMAL;2004-12-02;1995-10-02;2019-07-01;2020-06-30;Fundo de Renda Fixa;2015-11-16;NA;Aberto;S;N;N;N;  0;NA;2.8;NA;19621386991.89;2020-05-29;NA; 241;0;2020-05-29;19621386991,9; 15922
00834074000123; CAIXA FIC PRATICO RENDA FIXA CURTO PRAZO;0;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA PRÁTICO RENDA FIXA CURTO PRAZO;00360305;00360305;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA PRÁTICO RENDA FIXA CURTO PRAZO;2003-04-30;1995-10-02;2004-12-02;CANCELADA;2004-12-02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FIF; 241;0;2020-05-29;19621386991,9; 15922
00838267000152; BANESTES INVESTIDOR AUTOMÁTICO FI RF CURTO PRAZO;0;BANESTES INVESTIDOR AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;28127603;28156057;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;BANESTES INVESTIDOR AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2005-04-19;1995-10-02;NA;EM FUNCIONAMENTO NORMAL;2005-04-15;1995-10-02;2020-01-01;2020-12-31;Fundo de Renda Fixa;2016-06-15;DI de um dia;Aberto;N;N;N;N;  0;NA;2.6;NA;754928997.84;2020-05-29;NA;  13;0;2020-05-29;  754928997,8; 10211
00838267000152; BANESTES INVESTIDOR AUTOMÁTICO FI RF CURTO PRAZO;0;BANESTES INVESTIDOR AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;28127603;28156057;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;BANESTES INVESTIDOR AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2003-04-30;1995-10-02;2005-04-15;CANCELADA;2005-04-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FIF;  13;0;2020-05-29;  754928997,8; 10211
00840011000180; BTG PACTUAL YIELD FI RENDA FIXA REFERENCIADO DI CREDITO PRIVADO;0;BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO;59281253;29650082;Artigo 7º, Inciso VII, 'b';ART7VIIB; 1;BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO;2005-03-10;1995-10-02;NA;EM FUNCIONAMENTO NORMAL;2005-03-10;1995-10-02;2020-01-01;2020-12-31;Fundo de Renda Fixa;2016-06-28;DI de um dia;Aberto;N;N;S;N;  0;NA;0.3;NA;1425694177.27;2020-05-29;NA;   3;0;2020-05-29; 1425694177,3; 12885
00840011000180; BTG PACTUAL YIELD FI RENDA FIXA REFERENCIADO DI CREDITO PRIVADO;0;BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO;59281253;29650082;Artigo 7º, Inciso VII, 'b';ART7VIIB; 1;BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO;2003-04-30;1995-10-02;2005-03-10;CANCELADA;2005-03-10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FIF;   3;0;2020-05-29; 1425694177,3; 12885
00856755000192; SANTANDER FIC FI PRIORITY RF REF DI;0;SANTANDER FIC FI PRIORITY RENDA FIXA REFERENCIADO DI;90400888;10231177;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;SANTANDER FIC FI PRIORITY RENDA FIXA REFERENCIADO DI;2005-01-13;1995-11-01;NA;EM FUNCIONAMENTO NORMAL;2005-01-01;1995-11-01;2019-10-01;2020-09-30;Fundo de Renda Fixa;2016-04-07;DI de um dia;Aberto;S;N;S;N;  0;NA;0.7;NA;2963202869.72;2020-05-29;NA;   2;0;2020-05-29; 2963202869,7; 16498
00856755000192; SANTANDER FIC FI PRIORITY RF REF DI;0;SANTANDER FIC FI PRIORITY RENDA FIXA REFERENCIADO DI;90400888;10231177;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;SANTANDER FIC FI PRIORITY RENDA FIXA REFERENCIADO DI;2003-04-30;1995-11-01;2005-01-01;CANCELADA;2005-01-01;NA;2005-01-01;2005-12-31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FACFIF;   2;0;2020-05-29; 2963202869,7; 16498
00888899000120; Somma Institucional Dinâmico Multimercado;0;SOMMA INSTITUCIONAL DINÂMICO FUNDO DE INVESTIMENTO MULTIMERCADO;00066670;05563299;Artigo 8º, Inciso III;ART8III; 1;SOMMA INSTITUCIONAL DINÂMICO FUNDO DE INVESTIMENTO MULTIMERCADO;2005-03-10;1995-10-24;2018-03-29;CANCELADA;2018-03-29;1995-10-24;2017-10-01;2018-09-30;Fundo Multimercado;2005-03-10;DI de um dia;Aberto;N;N;N;N;  0;NA;0.55;NA;0.00;2018-04-11;NA;   2;0;NA;NA;NA
00888899000120; Somma Institucional Dinâmico Multimercado;0;SOMMA INSTITUCIONAL DINÂMICO FUNDO DE INVESTIMENTO MULTIMERCADO;00066670;05563299;Artigo 8º, Inciso III;ART8III; 1;SOMMA INSTITUCIONAL DINÂMICO FUNDO DE INVESTIMENTO MULTIMERCADO;2003-04-30;1995-10-24;2005-03-10;CANCELADA;2005-03-10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FIF;   2;0;NA;NA;NA
00973117000151; ITAÚ INSTITUCIONAL JUROS E MOEDAS FIC MULTIMERCADO;0;ITAÚ INSTITUCIONAL MULTIMERCADO JUROS E MOEDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVEST;60701190;60701190;Artigo 8º, Inciso III;ART8III; 1;ITAÚ INSTITUCIONAL MULTIMERCADO JUROS E MOEDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVEST;2005-03-14;1995-12-20;NA;EM FUNCIONAMENTO NORMAL;2005-03-11;1995-12-26;2019-10-01;2020-09-30;Fundo Multimercado;2005-03-11;DI de um dia;Aberto;S;N;S;N;  0;NA;0.35;NA;71249441.28;2020-05-29;NA;  17;0;2020-05-29;   71249441,3;    29
00973117000151; ITAÚ INSTITUCIONAL JUROS E MOEDAS FIC MULTIMERCADO;0;ITAÚ INSTITUCIONAL MULTIMERCADO JUROS E MOEDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVEST;60701190;60701190;Artigo 8º, Inciso III;ART8III; 1;ITAÚ INSTITUCIONAL MULTIMERCADO JUROS E MOEDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVEST;2003-04-30;1995-12-20;2005-03-11;CANCELADA;2005-03-11;NA;2004-10-01;2005-09-30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FIF;  17;0;2020-05-29;   71249441,3;    29
00975480000106; BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI LONGO PRAZO;0;NA;NA;NA;NA;NA;NA;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI LONGO PRAZO;2005-04-06;1995-12-28;NA;EM FUNCIONAMENTO NORMAL;2005-03-28;1995-12-28;2019-10-01;2020-09-30;Fundo de Renda Fixa;2016-05-05;DI de um dia;Aberto;N;N;S;N;  0;NA;0.15;NA;518146373.91;2020-05-29;NA;   4;0;2020-05-29;  518146373,9;   120
00975480000106; BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI LONGO PRAZO;0;NA;NA;NA;NA;NA;NA;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI LONGO PRAZO;2003-04-30;1995-12-28;2005-03-28;CANCELADA;2005-03-28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FIF;   4;0;2020-05-29;  518146373,9;   120
01063897000165; ITAÚ SMALL CAP VALUATION FIC FIA;0;ITAÚ SMALL CAP VALUATION FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;60701190;60701190;Artigo 8º, Inciso II, 'a';ART8IIA; 1;ITAÚ SMALL CAP VALUATION FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2005-03-18;1996-02-15;NA;EM FUNCIONAMENTO NORMAL;2005-03-14;1996-03-04;2019-09-01;2020-08-31;Fundo de Ações;2005-03-14;OUTROS;Aberto;S;N;NA;N; 15;NA;2;NA;1082355932.23;2020-05-29;NA;   6;0;2020-05-29; 1082355932,2; 35245
01165781000137; CAIXA FIC EXECUTIVO RF LP;0;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA EXECUTIVO RENDA FIXA LONGO PRAZO;00360305;00360305;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA EXECUTIVO RENDA FIXA LONGO PRAZO;2004-12-22;1996-09-02;NA;EM FUNCIONAMENTO NORMAL;2004-12-02;1996-09-02;2019-07-01;2020-06-30;Fundo de Renda Fixa;2004-12-02;NA;Aberto;S;N;S;N;  0;NA;1.1;NA;4060051223.73;2020-05-29;NA;   1;0;2020-05-29; 4060051223,7; 37158
01165781000137; CAIXA FIC EXECUTIVO RF LP;0;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA EXECUTIVO RENDA FIXA LONGO PRAZO;00360305;00360305;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA EXECUTIVO RENDA FIXA LONGO PRAZO;2003-04-30;1996-09-02;2004-12-02;CANCELADA;2004-12-02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FACFIF;   1;0;2020-05-29; 4060051223,7; 37158
01353260000103; BANRISUL AUTOMATICO FI RENDA FIXA CURTO PRAZO;0;BANRISUL AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;92702067;93026847;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;BANRISUL AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2005-04-15;1996-08-14;NA;EM FUNCIONAMENTO NORMAL;2005-03-31;1996-08-14;2020-04-01;2021-03-31;Fundo de Renda Fixa;2016-05-11;DI de um dia;Aberto;N;N;N;N;  0;NA;2.5;NA;503819620.21;2020-05-29;NA;  17;0;2020-05-29;  503819620,2;  1045
01353260000103; BANRISUL AUTOMATICO FI RENDA FIXA CURTO PRAZO;0;BANRISUL AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;92702067;93026847;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;BANRISUL AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2003-04-30;1996-08-14;2005-03-31;CANCELADA;2005-03-31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FIF;  17;0;2020-05-29;  503819620,2;  1045
01525057000177; CAIXA IBOVESPA FIC AÇÕES;0;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES CAIXA IBOVESPA;00360305;00360305;Artigo 8º, Inciso I, 'a';ART8IA; 1;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES CAIXA IBOVESPA;2004-12-22;1996-11-06;NA;EM FUNCIONAMENTO NORMAL;2004-12-02;1997-01-15;2019-10-01;2020-09-30;Fundo de Ações;2004-12-02;Ibovespa;Aberto;S;N;NA;N;  0;NA;4;NA;161859325.97;2020-05-29;NA;  28;0;2020-05-29;  161859326,0;  4507
01578474000188; BB AÇÕES TECNOLOGIA FUNDO DE INVESTIMENTO;0;BB AÇÕES TECNOLOGIA FUNDO DE INVESTIMENTO;30822936;30822936;Artigo 8º, Inciso II, 'a';ART8IIA; 1;BB AÇÕES TECNOLOGIA BDR NÍVEL I FUNDO DE INVESTIMENTO;2005-03-21;1996-10-16;NA;EM FUNCIONAMENTO NORMAL;2005-03-12;1997-02-25;2019-10-01;2020-09-30;Fundo de Ações;2005-03-12;Ibovespa;Aberto;N;N;NA;N; 20;NA;1.9;NA;357693274.88;2020-05-29;NA;   9;0;2020-05-29;  357693274,9; 21663
01587403000141; BANESTES VIP FI REFERENCIADO DI LP;0;BANESTES VIP DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;28127603;28156057;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;BANESTES VIP DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;2005-04-20;1996-12-16;NA;EM FUNCIONAMENTO NORMAL;2005-04-15;1996-12-16;2020-01-01;2020-12-31;Fundo de Renda Fixa;2016-06-15;DI de um dia;Aberto;S;N;S;N;  0;NA;0.8;NA;323135106.30;2020-05-29;NA;  16;0;2020-05-29;  323135106,3;  2163
01587403000141; BANESTES VIP FI REFERENCIADO DI LP;0;BANESTES VIP DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;28127603;28156057;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;BANESTES VIP DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;2003-04-30;1996-12-16;2005-04-15;CANCELADA;2005-04-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FIF;  16;0;2020-05-29;  323135106,3;  2163
01615744000183; SANTANDER YIELD VIP FIC RF REF DI CREDITO PRIVADO;0;SANTANDER FIC FI YIELD VIP RENDA FIXA REFERENCIADO DI CREDITO PRIVADO;90400888;10231177;Artigo 7º, Inciso VII, 'b';ART7VIIB; 1;SANTANDER FIC FI YIELD VIP RENDA FIXA REFERENCIADO DI CREDITO PRIVADO;2005-01-13;1996-12-17;NA;EM FUNCIONAMENTO NORMAL;2005-01-01;1997-05-07;2020-01-01;2020-12-31;Fundo de Renda Fixa;2016-06-21;DI de um dia;Aberto;S;N;S;N;  0;NA;0.3;NA;7190325208.57;2020-05-29;NA;   1;0;2020-05-29; 7190325208,6;  1755
01615744000183; SANTANDER YIELD VIP FIC RF REF DI CREDITO PRIVADO;0;SANTANDER FIC FI YIELD VIP RENDA FIXA REFERENCIADO DI CREDITO PRIVADO;90400888;10231177;Artigo 7º, Inciso VII, 'b';ART7VIIB; 1;SANTANDER FIC FI YIELD VIP RENDA FIXA REFERENCIADO DI CREDITO PRIVADO;2003-04-30;1996-12-17;2005-01-01;CANCELADA;2005-01-01;NA;2005-01-01;2005-12-31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FACFIF;   1;0;2020-05-29; 7190325208,6;  1755
01675497000100; GERAÇÃO FIA;0;GERAÇÃO FUNDO DE INVESTIMENTO EM AÇÕES;00066670;09630188;Artigo 8º, Inciso II, 'a';ART8IIA; 1;GERAÇÃO FUNDO DE INVESTIMENTO EM AÇÕES;2005-04-22;1997-06-18;NA;EM FUNCIONAMENTO NORMAL;2005-03-31;1997-06-18;2020-01-01;2020-12-31;Fundo de Ações;2005-03-31;Ibovespa;Aberto;N;N;NA;N;  0;NA;3;NA;292556106.78;2020-05-29;NA;  48;0;2020-05-29;  292556106,8; 16137
01699688000102; SANTANDER FI IBOVESPA ATIVO INSTITUCIONAL AÇÕES;0;SANTANDER FI IBOVESPA ATIVO INSTITUCIONAL AÇÕES;90400888;10231177;Artigo 8º, Inciso I, 'a';ART8IA; 1;SANTANDER FI IBOVESPA ATIVO INSTITUCIONAL AÇÕES;2005-04-13;1997-02-06;NA;EM FUNCIONAMENTO NORMAL;2005-03-31;1997-03-24;2020-02-01;2021-01-31;Fundo de Ações;2005-03-31;Ibovespa;Aberto;N;N;NA;N;  0;NA;0.75;NA;708626456.05;2020-05-29;NA;  12;0;2020-05-29;  708626456,0;    45
02010147000198; BB RF CP CLÁSSICO SETOR PÚBLICO FIC;0;BB RENDA FIXA CURTO PRAZO CLÁSSICO SETOR PÚBLICO FIC FI;30822936;30822936;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;BB RENDA FIXA CURTO PRAZO CLÁSSICO SETOR PÚBLICO FIC FI;2005-04-01;1997-12-23;NA;EM FUNCIONAMENTO NORMAL;2005-03-24;1997-12-23;2020-04-01;2021-03-31;Fundo de Renda Fixa;2016-05-31;DI de um dia;Aberto;S;N;N;N;  0;NA;2;NA;3012697546.84;2020-05-29;NA;   7;0;2020-05-29; 3012697546,8;  1673
02010147000198; BB RF CP CLÁSSICO SETOR PÚBLICO FIC;0;BB RENDA FIXA CURTO PRAZO CLÁSSICO SETOR PÚBLICO FIC FI;30822936;30822936;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;BB RENDA FIXA CURTO PRAZO CLÁSSICO SETOR PÚBLICO FIC FI;2003-04-30;1997-12-23;2005-03-24;CANCELADA;2005-03-24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FACFIF;   7;0;2020-05-29; 3012697546,8;  1673
02020528000158; BB AÇÕES ENERGIA FUNDO DE INVESTIMENTO;0;BB AÇÕES ENERGIA FUNDO DE INVESTIMENTO;30822936;30822936;Artigo 8º, Inciso II, 'a';ART8IIA; 1;BB AÇÕES ENERGIA FUNDO DE INVESTIMENTO;2005-03-21;1997-07-31;NA;EM FUNCIONAMENTO NORMAL;2005-03-12;1997-10-16;2019-10-01;2020-09-30;Fundo de Ações;2005-03-12;IEE;Aberto;N;N;NA;N;  0;NA;2;NA;448463072.11;2020-05-29;NA;  23;0;2020-05-29;  448463072,1; 20761
02131724000108; BANRISUL INFRA-ESTRUTURA FI AÇÕES;0;BANRISUL INFRA-ESTRUTURA FUNDO DE INVESTIMENTO EM AÇÕES;92702067;93026847;Artigo 8º, Inciso II, 'a';ART8IIA; 1;BANRISUL INFRA-ESTRUTURA FUNDO DE INVESTIMENTO EM AÇÕES;2005-04-15;1997-10-05;NA;EM FUNCIONAMENTO NORMAL;2005-03-31;1997-10-02;2020-04-01;2021-03-31;Fundo de Ações;2005-03-31;IBrX;Aberto;N;N;NA;N;  0;NA;2.5;NA;26737062.65;2020-05-29;NA;   4;0;2020-05-29;   26737062,6;  1040
02131725000144; BANRISUL ÍNDICE FI AÇÕES;0;BANRISUL ÍNDICE FUNDO DE INVESTIMENTO EM AÇÕES;92702067;93026847;Artigo 8º, Inciso I, 'a';ART8IA; 1;BANRISUL ÍNDICE FUNDO DE INVESTIMENTO EM AÇÕES;2005-04-15;1997-10-01;NA;EM FUNCIONAMENTO NORMAL;2005-03-31;1997-10-01;2020-04-01;2021-03-31;Fundo de Ações;2005-03-31;Ibovespa;Aberto;N;N;NA;N;  0;NA;0.85;NA;24718723.51;2020-05-29;NA;  13;0;2020-05-29;   24718723,5;   814
