ident_ativo;nm_ativo;eh_fundo_vedado;nm_fundo;cnpj_admin;cnpj_gestor;enquad_sprev;enquad_sprev_pad;atende_art15;TP_FUNDO;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_EXERC;DT_FIM_EXERC;qtd_rpps_investindo;eh_investigado;DT_COMPTC;VL_PATRIM_LIQ;NR_COTST
00975480000106; BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI LONGO PRAZO;0;NA;NA;NA;NA;NA;NA;FIF;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI LONGO PRAZO;2003-04-30;1995-12-28;2005-03-28;CANCELADA;2005-03-28;NA;NA;   4;0;2020-05-29;  518146374;   120
01063897000165; ITAÚ SMALL CAP VALUATION FIC FIA;0;ITAÚ SMALL CAP VALUATION FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;60701190;60701190;Artigo 8º, Inciso II, 'a';ART8IIA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;   6;0;2020-05-29; 1082355932; 35260
01165781000137; CAIXA FIC EXECUTIVO RF LP;0;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA EXECUTIVO RENDA FIXA LONGO PRAZO;00360305;00360305;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FACFIF;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA EXECUTIVO RENDA FIXA LONGO PRAZO;2003-04-30;1996-09-02;2004-12-02;CANCELADA;2004-12-02;NA;NA;   1;0;2020-05-29; 4060051224; 37158
01353260000103; BANRISUL AUTOMATICO FI RENDA FIXA CURTO PRAZO;0;BANRISUL AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;92702067;93026847;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;BANRISUL AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO;2003-04-30;1996-08-14;2005-03-31;CANCELADA;2005-03-31;NA;NA;  17;0;2020-05-29;  503819620;  1045
01525057000177; CAIXA IBOVESPA FIC AÇÕES;0;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES CAIXA IBOVESPA;00360305;00360305;Artigo 8º, Inciso I, 'a';ART8IA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;  28;0;2020-05-29;  161859326;  4507
01578474000188; BB AÇÕES TECNOLOGIA FUNDO DE INVESTIMENTO;0;BB AÇÕES TECNOLOGIA FUNDO DE INVESTIMENTO;30822936;30822936;Artigo 8º, Inciso II, 'a';ART8IIA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;   9;0;2020-05-29;  357693275; 21663
01587403000141; BANESTES VIP FI REFERENCIADO DI LP;0;BANESTES VIP DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;28127603;28156057;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;BANESTES VIP DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;2003-04-30;1996-12-16;2005-04-15;CANCELADA;2005-04-15;NA;NA;  16;0;2020-05-29;  323135106;  2163
01615744000183; SANTANDER YIELD VIP FIC RF REF DI CREDITO PRIVADO;0;SANTANDER FIC FI YIELD VIP RENDA FIXA REFERENCIADO DI CREDITO PRIVADO;90400888;10231177;Artigo 7º, Inciso VII, 'b';ART7VIIB; 1;FACFIF;SANTANDER FIC FI YIELD VIP RENDA FIXA REFERENCIADO DI CREDITO PRIVADO;2003-04-30;1996-12-17;2005-01-01;CANCELADA;2005-01-01;2005-01-01;2005-12-31;   1;0;2020-05-29; 7190325209;  1755
01675497000100; GERAÇÃO FIA;0;GERAÇÃO FUNDO DE INVESTIMENTO EM AÇÕES;00066670;09630188;Artigo 8º, Inciso II, 'a';ART8IIA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;  48;0;2020-05-29;  292556107; 16137
01699688000102; SANTANDER FI IBOVESPA ATIVO INSTITUCIONAL AÇÕES;0;SANTANDER FI IBOVESPA ATIVO INSTITUCIONAL AÇÕES;90400888;10231177;Artigo 8º, Inciso I, 'a';ART8IA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;  12;0;2020-05-29;  708626456;    45
02010147000198; BB RF CP CLÁSSICO SETOR PÚBLICO FIC;0;BB RENDA FIXA CURTO PRAZO CLÁSSICO SETOR PÚBLICO FIC FI;30822936;30822936;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FACFIF;BB RENDA FIXA CURTO PRAZO CLÁSSICO SETOR PÚBLICO FIC FI;2003-04-30;1997-12-23;2005-03-24;CANCELADA;2005-03-24;NA;NA;   7;0;2020-05-29; 3012697547;  1673
02020528000158; BB AÇÕES ENERGIA FUNDO DE INVESTIMENTO;0;BB AÇÕES ENERGIA FUNDO DE INVESTIMENTO;30822936;30822936;Artigo 8º, Inciso II, 'a';ART8IIA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;  23;0;2020-05-29;  448463072; 20761
02131724000108; BANRISUL INFRA-ESTRUTURA FI AÇÕES;0;BANRISUL INFRA-ESTRUTURA FUNDO DE INVESTIMENTO EM AÇÕES;92702067;93026847;Artigo 8º, Inciso II, 'a';ART8IIA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;   4;0;2020-05-29;   26737063;  1040
02131725000144; BANRISUL ÍNDICE FI AÇÕES;0;BANRISUL ÍNDICE FUNDO DE INVESTIMENTO EM AÇÕES;92702067;93026847;Artigo 8º, Inciso I, 'a';ART8IA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;  13;0;2020-05-29;   24718724;   814
02138442000124; BRADESCO H FUNDO DE INVESTIMENTOS AÇÕES DIVIDENDOS;0;BRADESCO H FUNDO DE INVESTIMENTO AÇÕES DIVIDENDOS;60746948;62375134;Artigo 8º, Inciso II, 'a';ART8IIA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;   1;0;2020-05-29;   36366669;   411
02224354000145; SANTANDER FIC FI INSTITUCIONAL RENDA FIXA REFERENCIADO DI;0;SANTANDER FIC FI INSTITUCIONAL RENDA FIXA REFERENCIADO DI;90400888;10231177;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FACFIF;SANTANDER FIC FI INSTITUCIONAL RENDA FIXA REFERENCIADO DI;2003-04-30;1997-10-20;2005-02-01;CANCELADA;2005-02-01;2005-01-01;2005-12-31;  46;0;2020-05-29; 2557300344;   539
02228453000103; Itaú Institucional FIC IBrX Ativo Ações;0;ITAÚ INSTITUCIONAL IBRX ATIVO AÇÕES - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;60701190;60701190;Artigo 8º, Inciso I, 'a';ART8IA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;   2;0;NA;NA;NA
02296928000190; BB INSTITUCIONAL FI RENDA FIXA;0;BB INSTITUCIONAL FUNDO DE INVESTIMENTO RENDA FIXA;30822936;30822936;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;BB INSTITUCIONAL FUNDO DE INVESTIMENTO RENDA FIXA;2003-04-30;2001-07-19;2005-03-24;CANCELADA;2005-03-24;NA;NA;  23;0;2020-05-29;  680745450;    78
02367527000184; Santander FIC Master;0;SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MASTER RENDA FIXA REFERENCIADO DI;90400888;10231177;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FACFIF;SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MASTER RENDA FIXA REFERENCIADO DI;2003-04-30;1998-09-24;2005-03-31;CANCELADA;2005-03-31;NA;NA;   5;0;2020-05-29; 4716761162; 47749
02436763000105; SANTANDER FIC FI SELEÇÃO TOP AÇÕES;0;SANTANDER FIC FI SELEÇÃO TOP AÇÕES;90400888;10231177;Artigo 8º, Inciso II, 'a';ART8IIA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;  21;0;2020-05-29;  515812910;  3617
02506721000101; BB MASTER SETOR PÚBLICO FIC RENDA FIXA;0;BB RENDA FIXA MASTER SETOR PUBLICO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;30822936;30822936;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;   6;0;2020-05-29;  318749128;    69
02543811000164; SANTANDER SÊNIOR FIC REFERENCIADO DI;0;SANTANDER FIC FI SÊNIOR RENDA FIXA REFERENCIADO DI;90400888;10231177;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FACFIF;SANTANDER FIC FI SÊNIOR RENDA FIXA REFERENCIADO DI;2003-04-30;1998-06-18;2005-03-31;CANCELADA;2005-03-31;NA;NA;   1;0;2020-05-29;  478086527; 12130
02887290000162; ITAÚ AÇÕES DIVIDENDOS;0;ITAÚ AÇÕES DIVIDENDOS - FUNDO DE INVESTIMENTO;60701190;60701190;Artigo 8º, Inciso II, 'a';ART8IIA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;  18;0;2020-05-29;  421692635;   407
02895694000106; FRANKLIN TEMPLETON VALOR E FVL FI AÇÕES;0;FRANKLIN VALOR E LIQUIDEZ FVL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;02201501;04205311;Artigo 8º, Inciso II, 'a';ART8IIA; 0;NA;NA;NA;NA;NA;NA;NA;NA;NA;  15;0;2020-05-29;  316404658;  5704
02998164000185; BRADESCO PLUS I FI MULTIMERCADO;0;BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO PLUS I;60746948;62375134;Artigo 8º, Inciso III;ART8III; 1;FIF;BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO PLUS I;2003-04-30;1999-11-03;2005-03-04;CANCELADA;2005-03-04;NA;NA;  11;0;2020-05-29;   44553818;    14
03069104000140; SANTANDER FIC FI CORPORATE RENDA FIXA REFERENCIADO DI;0;SANTANDER FIC FI CORPORATE RENDA FIXA REFERENCIADO DI;90400888;10231177;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FACFIF;SANTANDER FIC FI CORPORATE RENDA FIXA REFERENCIADO DI;2003-04-30;1999-08-02;2005-03-31;CANCELADA;2005-03-31;NA;NA;  26;0;2020-05-29; 3890043594;   995
03168062000103; ARX Income FI Ações;0;ARX INCOME FUNDO DE INVESTIMENTO EM ACOES;02201501;04408128;Artigo 8º, Inciso II, 'a';ART8IIA; 0;NA;NA;NA;NA;NA;NA;NA;NA;NA;   8;0;2020-05-29;  619144609; 35997
03187084000102; Itaú PP Renda Fixa Curto Prazo;0;ITAÚ PP RENDA FIXA CURTO PRAZO - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;60701190;60701190;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FACFIF;ITAÚ PP RENDA FIXA CURTO PRAZO - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2003-04-30;1999-08-02;2005-03-09;CANCELADA;2005-03-09;NA;NA;   3;0;2020-05-29;  869441672;  1243
03191874000161; CAIXA PATRIMÔNIO ÍNDICE DE PREÇOS FIC RENDA FIXA LP;0;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA PATRIMÔNIO ÍNDICE DE PREÇOS RF LP;00360305;00360305;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA PATRIMÔNIO ÍNDICE DE PREÇOS RF LP;2003-04-30;2000-01-03;2004-12-02;CANCELADA;2004-12-02;NA;NA;   8;0;2020-05-29;  279073797;   412
03256793000100; BRADESCO FI RF REFERENCIADO DI FEDERAL EXTRA;0;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI FEDERAL EXTRA;60746948;62375134;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI FEDERAL EXTRA;2003-04-30;1999-08-02;2005-03-11;CANCELADA;2005-03-11;NA;NA;  75;0;2020-05-29; 8197239571;   424
03394711000186; BRADESCO PLUS IBOVESPA FI AÇÕES;0;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES IBOVESPA PLUS;60746948;62375134;Artigo 8º, Inciso I, 'a';ART8IA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;  30;0;2020-05-29;  289593275;    60
03399411000190; BRADESCO FI REFERENCIADO DI PREMIUM;0;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI PREMIUM;60746948;62375134;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI PREMIUM;2003-04-30;1999-08-06;2005-02-15;CANCELADA;2005-02-15;2005-02-01;2006-01-31; 121;0;2020-05-29; 3552509323;   230
03473193000196; BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES INSTITUCIONAL IBRX ATIVO;0;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES INSTITUCIONAL IBRX ATIVO;00066670;62375134;Artigo 8º, Inciso I, 'a';ART8IA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;   4;0;2020-05-29;   15856921;     5
03499367000190; WESTERN ASSET RENDA FIXA ATIVO FI;0;WESTERN ASSET RENDA FIXA ATIVO FUNDO DE INVESTIMENTO;01522368;07437241;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;WESTERN ASSET RENDA FIXA ATIVO FUNDO DE INVESTIMENTO;2003-04-30;2000-03-14;2005-03-14;CANCELADA;2005-03-14;2005-01-01;2005-12-31;   6;0;2020-05-29; 2059596823; 18024
03543447000103; BB PREVID RF IMA-B 5;0;BB PREVIDENCIÁRIO RENDA FIXA IMA-B 5 LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FI;30822936;30822936;Artigo 7º, Inciso I, 'b';ART7IB; 1;FIF;BB PREVIDENCIÁRIO RENDA FIXA IMA-B 5 LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FI;2003-04-30;1999-12-17;2005-03-24;CANCELADA;2005-03-24;NA;NA; 667;0;2020-05-29; 4431593608;   613
03564809000134; SICREDI FIC RF PREMIUM LP;0;SICREDI - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA PREMIUM LONGO PRAZO;01181521;03795072;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;SICREDI - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA PREMIUM LONGO PRAZO;2003-04-30;1999-12-27;2005-01-27;CANCELADA;2005-01-27;NA;NA;   6;0;2020-05-29;   91193938;  2782
03660879000196; BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES SELECTION;0;BRADESCO FUNDO DE INVESTIMENTO EM AÇÕES SELECTION;00066670;62375134;Artigo 8º, Inciso II, 'a';ART8IIA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA; 125;0;2020-05-29;  640262758;   206
03683056000186; FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA;0;FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA;72600026;72600026;Artigo 8º, Inciso IV, 'b';ART8IVB; 0;F.I.I.;FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA;2000-02-01;NA;NA;EM FUNCIONAMENTO NORMAL;2000-02-01;2020-01-01;2020-12-31;   2;0;NA;NA;NA
03737188000143; CAIXA RV 30 FI MULTIMERCADO LP;0;FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO;00360305;00360305;Artigo 8º, Inciso III;ART8III; 1;FIF;FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO;2003-04-30;2000-06-20;2004-12-02;CANCELADA;2004-12-02;NA;NA; 183;0;2020-05-29; 2366607653; 20745
03737206000197; Caixa Brasil FI Renda Fixa Referenciado DI LP;0;FUNDO DE INVESTIMENTO CAIXA BRASIL RENDA FIXA REFERENCIADO DI LONGO PRAZO;00360305;00360305;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA; 746;0;2020-05-29; 4656011205;   669
03737211000108; CAIXA FIC PREFERENCIAL RF REF DI LP;0;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA PREFERENCIAL RENDA FIXA REF DI LP;00360305;00360305;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FACFIF;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA PREFERENCIAL RENDA FIXA REF DI LP;2003-10-01;2003-10-01;2004-12-02;CANCELADA;2004-12-02;NA;NA;   5;0;2020-05-29; 2508072670; 30669
03737217000177; Caixa FI Ações Brasil IBX-50;0;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA BRASIL IBX-50;00360305;00360305;Artigo 8º, Inciso I, 'a';ART8IA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA; 112;0;2020-05-29;  816953108;    96
03765626000187; SANTANDER PERFORMANCE FIX FIC MULTIMERCADO;0;NA;NA;NA;NA;NA;NA;FIF;SANTANDER PERFORMANCE FIX RF LP FIC FI;2003-04-30;2000-09-05;2005-01-01;CANCELADA;2005-01-01;2005-01-01;2005-12-31;   1;0;2020-05-29; 1275843687;  9470
03772955000155; BNB ESPECIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;0;BNB ESPECIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;62318407;07237373;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;BNB ESPECIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;2003-04-30;2000-04-28;2005-03-21;CANCELADA;2005-03-21;2004-04-01;2005-03-31;   1;0;2020-05-29;  383047180;  2486
03914671000156; CAIXA PETROBRAS FI AÇÕES;0;FUNDO DE INVESTIMENTO EM AÇÕES CAIXA PETROBRAS;00360305;00360305;Artigo 8º, Inciso II, 'a';ART8IIA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;  14;0;2020-05-29;  540523930; 27539
03916081000162; BRADESCO FIA PETROBRAS;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;   2;0;2020-05-29;  190412177; 10442
03920413000182; BB PETROBRAS FI AÇÕES;0;BB AÇÕES PETROBRAS FUNDO DE INVESTIMENTO;30822936;30822936;Artigo 8º, Inciso II, 'a';ART8IIA; 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;   9;0;2020-05-29;  398437710; 40427
04061224000164; BB VIP FIC RENDA FIXA REFERENCIADO DI LP;0;BB RENDA FIXA REFERENCIADO DI LP VIP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;30822936;30822936;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FACFIF;BB RENDA FIXA REFERENCIADO DI LP VIP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2003-04-30;2000-09-13;2005-03-24;CANCELADA;2005-03-24;2005-01-01;2005-12-31;   2;0;2020-05-29;35527815019;133705
04061548000100; BB REFERENCIADO DI LP 90 MIL;0;BB RENDA FIXA REFERENCIADO DI LP 90 MIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;30822936;30822936;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FACFIF;BB RENDA FIXA REFERENCIADO DI LP 90 MIL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2003-04-30;2000-09-29;2005-03-24;CANCELADA;2005-03-24;NA;NA;   1;0;2020-05-29; 1670558217;  9793
04061762000159; BB ABSOLUTO SETOR PÚBLICO FIC RENDA FIXA CURTO PRAZO;0;BB RENDA FIXA CURTO PRAZO ABSOLUTO SETOR PÚBLICO FIC FI;30822936;30822936;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FACFIF;BB RENDA FIXA CURTO PRAZO ABSOLUTO SETOR PÚBLICO FIC FI;2003-04-30;2000-09-29;2005-03-24;CANCELADA;2005-03-24;NA;NA;   2;0;2020-05-29; 4140468098;   761
04160232000168; BB MILENIO 32 FI RF;0;NA;NA;NA;NA;NA;NA;FIF;BB MILENIO 32 FUNDO DE INVESTIMENTO RENDA FIXA;2003-04-30;2001-09-17;2005-02-25;CANCELADA;2005-02-25;NA;NA;   1;0;2020-05-29;16063165033;    42
04192419000143; WESTERN ASSET RENDA FIXA ATIVO MAX FI;0;WESTERN ASSET RENDA FIXA ATIVO MAX FUNDO DE INVESTIMENTO;01522368;07437241;Artigo 7º, Inciso IV, 'a';ART7IVA; 1;FIF;WESTERN ASSET RENDA FIXA ATIVO MAX FUNDO DE INVESTIMENTO;2003-04-30;2001-04-24;2004-05-14;CANCELADA;2004-05-14;NA;NA;   1;0;2020-05-29;  220009821;   131
